RECORDING_SESSION_LABEL,TRIAL_INDEX,IA_AVERAGE_FIX_PUPIL_SIZE,TRIAL_DWELL_TIME,TRIAL_FIXATION_COUNT,IA_FIXATION_%,IA_FIXATION_COUNT,IA_DWELL_TIME_%,IA_FIRST_FIXATION_DURATION,IA_LABEL,IA_MAX_FIX_PUPIL_SIZE,IA_MIN_FIX_PUPIL_SIZE,IA_REGRESSION_IN,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT,IA_REGRESSION_OUT_COUNT,IA_SKIP,IA_RUN_COUNT,sno,assertion,IA_FIRST_RUN_FIXATION_%,cond_remark,cleaned_tokens,backward_reg_count,forward_reg_count,total_reg_count,Clicked,token,Intensity_Category,Intensity_Category_Binary,Pupilsize_variation,index
p15,70,"[1104.0, 1079.0, 1021.5, 1002.0, 1022.5]",1214.0,9,"[0.1111, 0.1111, 0.4444, 0.1111, 0.2222]","[1, 1, 4, 1, 2]","[0.0519, 0.1466, 0.4753, 0.1005, 0.2257]","[63.0, 178.0, 134.0, 122.0, 224.0]",Word 1,"[1104.0, 1079.0, 1061.0, 1002.0, 1030.0]","[1104.0, 1079.0, 1003.0, 1002.0, 1015.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",43,Männer sind dümmer als Frauen.,"[0.1111, 0.1111, 0.4444, 0.1111, 0.2222]",hate_m,"['männer', 'sind', 'dümmer', 'als', 'frauen']","[0.0, 1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 1.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 0.0]","[0, 0, 1, 0, 0]",,hate,1,"[0.0, 0.0, 58.0, 0.0, 15.0]",605.0
p15,73,"[1119.0, 1072.0, 1076.0, 1065.67, 1057.0]",1575.0,13,"[0.1538, 0.0769, 0.3077, 0.2308, 0.0769]","[2, 1, 4, 3, 1]","[0.1727, 0.0832, 0.3054, 0.1917, 0.099]","[145.0, 131.0, 109.0, 100.0, 156.0]",Word 1,"[1182.0, 1072.0, 1134.0, 1092.0, 1057.0]","[1056.0, 1072.0, 1048.0, 1047.0, 1057.0]","[1.0, 1.0, 1.0, 0.0, 0.0]","[2.0, 1.0, 2.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.0, 1.0, 4.0, 3.0, 1.0]",46,Männer sind nicht die hellsten.,"[0.0769, 0.0769, 0.0769, 0.0769, 0.0769]",hate_m,"['männer', 'sind', 'nicht', 'die', 'hellsten']","[0.0, 1.0, 1.0, 1.0, 1.0]","[2.0, 0.0, 3.0, 1.0, 0.0]","[2.0, 1.0, 4.0, 2.0, 1.0]","[0, 0, 1, 1, 1]",,hate,1,"[126.0, 0.0, 86.0, 45.0, 0.0]",608.0
p17,59,"[1911.0, 1964.0, 1903.0, 1747.5, 1835.75]",1802.0,10,"[0.1, 0.1, 0.1, 0.2, 0.4]","[1, 1, 1, 2, 4]","[0.0749, 0.0788, 0.1182, 0.192, 0.4717]","[135.0, 142.0, 213.0, 151.0, 219.0]",Word 1,"[1911.0, 1964.0, 1903.0, 1807.0, 2002.0]","[1911.0, 1964.0, 1903.0, 1688.0, 1702.0]","[1.0, 0.0, 0.0, 1.0, 0.0]","[1.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 2.0, 2.0]",46,Männer sind nicht die hellsten.,"[0.1, 0.1, 0.1, 0.1, 0.1]",hate_m,"['männer', 'sind', 'nicht', 'die', 'hellsten']","[0.0, 0.0, 0.0, 0.0, 1.0]","[1.0, 1.0, 1.0, 2.0, 0.0]","[1.0, 1.0, 1.0, 2.0, 1.0]","[0, 0, 1, 1, 1]",,hate,1,"[0.0, 0.0, 0.0, 119.0, 300.0]",684.0
p17,63,"[2413.0, 2240.0, 2068.0, 1881.0, 1933.0]",1271.0,7,"[0.1429, 0.1429, 0.1429, 0.1429, 0.1429]","[1, 1, 1, 1, 1]","[0.1015, 0.1196, 0.1338, 0.1755, 0.3438]","[129.0, 152.0, 170.0, 223.0, 437.0]",Word 1,"[2413.0, 2240.0, 2068.0, 1881.0, 1933.0]","[2413.0, 2240.0, 2068.0, 1881.0, 1933.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",43,Männer sind dümmer als Frauen.,"[0.1429, 0.1429, 0.1429, 0.1429, 0.1429]",hate_m,"['männer', 'sind', 'dümmer', 'als', 'frauen']","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 0.0]","[0, 0, 1, 1, 0]",,hate,1,"[0.0, 0.0, 0.0, 0.0, 0.0]",688.0
p18,6,"[1091.0, 1101.0, 1370.67, 1367.0, 1232.4175]",1754.0,11,"[0.1818, 0.0909, 0.2727, 0.1818, 0.0]","[2, 1, 3, 2, 0]","[0.1642, 0.0713, 0.3141, 0.4014, 0.0]","[134.0, 125.0, 198.0, 109.0, 141.5]",Word 1,"[1125.0, 1101.0, 1452.0, 1518.0, 1299.0]","[1057.0, 1101.0, 1269.0, 1216.0, 1160.75]","[1.0, 0.0, 1.0, 1.0, 0.0]","[1.0, 0.0, 1.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 2.0, 2.0, 0.0]",43,Männer sind dümmer als Frauen.,"[0.1818, 0.0909, 0.1818, 0.0909, 0.13635]",hate_m,"['männer', 'sind', 'dümmer', 'als', 'frauen']","[0.0, 0.0, 0.0, 2.0, 0.0]","[1.0, 1.0, 1.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 2.0, 0.0]","[0, 0, 1, 0, 0]",,hate,1,"[68.0, 0.0, 183.0, 302.0, 138.25]",721.0
p18,34,"[1212.0, 1213.5, 1197.0, 1223.0, 1234.0]",1165.0,9,"[0.1111, 0.2222, 0.1111, 0.2222, 0.2222]","[1, 2, 1, 2, 2]","[0.1047, 0.1373, 0.1631, 0.2163, 0.2481]","[122.0, 97.0, 190.0, 133.0, 134.0]",Word 1,"[1212.0, 1265.0, 1197.0, 1232.0, 1260.0]","[1212.0, 1162.0, 1197.0, 1214.0, 1208.0]","[1.0, 1.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 1.0, 1.0, 1.0]",46,Männer sind nicht die hellsten.,"[0.1111, 0.1111, 0.1111, 0.2222, 0.2222]",hate_m,"['männer', 'sind', 'nicht', 'die', 'hellsten']","[0.0, 1.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 0.0]","[1.0, 2.0, 1.0, 1.0, 0.0]","[0, 1, 1, 1, 1]",,hate,1,"[0.0, 103.0, 0.0, 18.0, 52.0]",749.0
p19,15,"[1386.0, 1391.0, 1432.0, 1403.0, 1403.0]",1487.0,8,"[0.25, 0.25, 0.375, 0.0, 0.0]","[2, 2, 3, 0, 0]","[0.2011, 0.2488, 0.4815, 0.0, 0.0]","[191.0, 160.0, 121.0, 157.33333333333334, 157.33333333333334]",Word 1,"[1423.0, 1398.0, 1451.0, 1424.0, 1424.0]","[1349.0, 1384.0, 1396.0, 1376.3333333333333, 1376.3333333333333]","[1.0, 1.0, 1.0, 0.0, 0.0]","[2.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.0, 2.0, 3.0, 0.0, 0.0]",43,Männer sind dümmer als Frauen.,"[0.125, 0.125, 0.125, 0.125, 0.125]",hate_m,"['männer', 'sind', 'dümmer', 'als', 'frauen']","[0.0, 1.0, 2.0, 0.0, 0.0]","[2.0, 1.0, 0.0, 0.0, 0.0]","[2.0, 2.0, 2.0, 0.0, 0.0]","[0, 0, 1, 1, 1]",,hate,1,"[74.0, 14.0, 55.0, 47.66666666666666, 47.66666666666666]",820.0
p19,94,"[1309.0825, 1326.0, 1336.33, 1285.0, 1289.0]",1462.0,7,"[0.0, 0.1429, 0.4286, 0.1429, 0.1429]","[0, 1, 3, 1, 1]","[0.0, 0.0814, 0.4378, 0.1094, 0.1765]","[183.75, 119.0, 198.0, 160.0, 258.0]",Word 1,"[1314.0, 1326.0, 1356.0, 1285.0, 1289.0]","[1306.25, 1326.0, 1325.0, 1285.0, 1289.0]","[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 2.0, 1.0, 1.0]",46,Männer sind nicht die hellsten.,"[0.1786, 0.1429, 0.2857, 0.1429, 0.1429]",hate_m,"['männer', 'sind', 'nicht', 'die', 'hellsten']","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 1.0, 0.0]","[0.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 1, 1, 1]",,hate,1,"[7.75, 0.0, 31.0, 0.0, 0.0]",899.0
p2,41,"[1398.0, 1458.0, 1357.67, 1300.0, 1293.0]",1701.0,7,"[0.1429, 0.1429, 0.4286, 0.1429, 0.1429]","[1, 1, 3, 1, 1]","[0.1758, 0.1429, 0.3357, 0.1387, 0.2069]","[299.0, 243.0, 188.0, 236.0, 352.0]",Word 1,"[1398.0, 1458.0, 1421.0, 1300.0, 1293.0]","[1398.0, 1458.0, 1305.0, 1300.0, 1293.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 2.0, 1.0, 1.0]",46,Männer sind nicht die hellsten.,"[0.1429, 0.1429, 0.1429, 0.1429, 0.1429]",hate_m,"['männer', 'sind', 'nicht', 'die', 'hellsten']","[0.0, 0.0, 1.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 0.0]","[1.0, 1.0, 2.0, 1.0, 0.0]","[0, 1, 1, 1, 1]",,hate,1,"[0.0, 0.0, 116.0, 0.0, 0.0]",936.0
p2,90,"[1435.0, 1358.5, 1333.0, 1324.0, 1342.0]",911.0,7,"[0.1429, 0.0, 0.1429, 0.1429, 0.1429]","[1, 0, 1, 1, 1]","[0.1251, 0.0, 0.1976, 0.2843, 0.0165]","[114.0, 142.0, 180.0, 259.0, 15.0]",Word 1,"[1435.0, 1358.5, 1333.0, 1324.0, 1342.0]","[1435.0, 1358.5, 1333.0, 1324.0, 1342.0]","[1.0, 0.0, 1.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.0, 1.0, 1.0, 1.0]",43,Männer sind dümmer als Frauen.,"[0.1429, 0.1429, 0.1429, 0.1429, 0.1429]",hate_m,"['männer', 'sind', 'dümmer', 'als', 'frauen']","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 1.0, 0.0]","[1.0, 0.0, 1.0, 1.0, 0.0]","[0, 1, 1, 1, 0]",,hate,1,"[0.0, 0.0, 0.0, 0.0, 0.0]",985.0
p20,60,"[1092.0833333333333, 1062.0, 1092.0833333333333, 1054.0, 1160.25]",7517.0,33,"[0.0, 0.0303, 0.0, 0.0909, 0.2424]","[0, 1, 0, 3, 8]","[0.0, 0.0221, 0.0, 0.103, 0.2739]","[206.66666666666663, 166.0, 206.66666666666663, 274.0, 180.0]",Word 1,"[1238.0, 1062.0, 1238.0, 1281.0, 1371.0]","[964.6666666666666, 1062.0, 964.6666666666666, 882.0, 950.0]","[0.0, 1.0, 0.0, 1.0, 1.0]","[0.0, 1.0, 0.0, 3.0, 4.0]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 1.0, 0.0, 3.0, 6.0]",46,Männer sind nicht die hellsten.,"[0.0303, 0.0303, 0.0303, 0.0303, 0.0303]",hate_m,"['männer', 'sind', 'nicht', 'die', 'hellsten']","[0.0, 0.0, 0.0, 0.0, 3.0]","[0.0, 1.0, 0.0, 2.0, 0.0]","[0.0, 1.0, 0.0, 2.0, 3.0]","[0, 0, 1, 1, 1]",,hate,1,"[273.3333333333333, 0.0, 273.3333333333333, 399.0, 421.0]",1045.0
p20,78,"[1298.0, 907.0, 974.0, 1055.0, 932.33]",2731.0,14,"[0.0714, 0.0714, 0.3571, 0.0714, 0.2143]","[1, 1, 5, 1, 3]","[0.0663, 0.0762, 0.3416, 0.0685, 0.2413]","[181.0, 208.0, 158.0, 187.0, 196.0]",Word 1,"[1298.0, 907.0, 1178.0, 1055.0, 1008.0]","[1298.0, 907.0, 835.0, 1055.0, 880.0]","[1.0, 1.0, 1.0, 1.0, 0.0]","[1.0, 1.0, 2.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 4.0, 1.0, 3.0]",43,Männer sind dümmer als Frauen.,"[0.0714, 0.0714, 0.1429, 0.0714, 0.0714]",hate_m,"['männer', 'sind', 'dümmer', 'als', 'frauen']","[0.0, 0.0, 0.0, 0.0, 3.0]","[1.0, 1.0, 3.0, 0.0, 0.0]","[1.0, 1.0, 3.0, 0.0, 3.0]","[0, 0, 1, 1, 1]",,hate,1,"[0.0, 0.0, 343.0, 0.0, 128.0]",1063.0
